index,promptcategory,timecategory,imperative,temporalvalue,daytimevalue,subject,prompt,difficulty,prompttemplate,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2,model,category,lifespan,anAge,time,goldenrecordImages,periodstart,periodend,goldenrecordImagePath,DemolitionDate,BuildingCoordinates,BuildingCountry,RandomBefore,RandomAfter,BuildingCoordinates.1,lon,lat,commonsCategory,isInGoogleLandmark,inception,WikipediaPagesCount,Imperative,PromptTemplate,currentState,place,suggestion,image_path,exp_label_1,exp_label_2,label_1,label_2,label_3,maj
67,Seasonality,Date,Create,03/09/1947,,a forest,Create a photorealistic image of a forest in europe on 03/09/1947 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a forest in europe on 03/09/1947 '? Is the correct temporal knowledge applied (i.e. 03/09/1947)? Just reply with 'yes' or 'no'.,sdxlbase,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdxlbase_Time_67.png,1,1,0.0,1.0,0,1.0
1230,Seasonality,Date,Generate,05/30/1839,,a city,Generate a photorealistic image of a city in europe on 05/30/1839 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a city'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a city in europe on 05/30/1839 '? Is the correct temporal knowledge applied (i.e. 05/30/1839)? Just reply with 'yes' or 'no'.,sdxlbase,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdxlbase_Time_1230.png,1,1,1.0,1.0,0,1.0
585,Seasonality,Date,Give me,01/26/1811,,a landscape,Give me a photorealistic image of a landscape in europe on 01/26/1811 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"frosty,snowy,icy,snow,ice,frost,frosty and icy,frosty,snowy,icy,snow,ice,frost,frosty and icy",Is the following subject present in the image: 'a landscape'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a landscape in europe on 01/26/1811 '? Is the correct temporal knowledge applied (i.e. 01/26/1811)? Just reply with 'yes' or 'no'.,stable-diffusion-3-5,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_stable-diffusion-3-5_Time_585.png,0,0,0.0,0.0,0,0.0
1390,Seasonality,Date,Produce,06/02/1711,,a forest,Produce a photorealistic image of a forest in europe on 06/02/1711 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine,sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a forest in europe on 06/02/1711 '? Is the correct temporal knowledge applied (i.e. 06/02/1711)? Just reply with 'yes' or 'no'.,sdxlbase,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdxlbase_Time_1390.png,1,1,0.0,0.0,0,1.0
697,Seasonality,Date,Give me,11/01/1877,,mountains,Give me a photorealistic image of mountains in europe on 11/01/1877 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"golden,leaves,colored leaves,orange leaves,warm-hued landscape,golden,leaves,colored leaves,orange leaves,warm-hued landscape",Is the following subject present in the image: 'mountains'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of mountains in europe on 11/01/1877 '? Is the correct temporal knowledge applied (i.e. 11/01/1877)? Just reply with 'yes' or 'no'.,stable-diffusion-3-5,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_stable-diffusion-3-5_Time_697.png,1,1,0.0,1.0,0,1.0
389,Seasonality,Date,Create,06/02/1711,,a lake,Create a photorealistic image of a lake in europe on 06/02/1711 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine,sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine",Is the following subject present in the image: 'a lake'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a lake in europe on 06/02/1711 '? Is the correct temporal knowledge applied (i.e. 06/02/1711)? Just reply with 'yes' or 'no'.,sdxlturbo,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdxlturbo_Time_389.png,0,0,0.0,1.0,0,0.0
217,Seasonality,Date,Create,11/11/1744,,mountains,Create a photorealistic image of mountains in europe on 11/11/1744 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"golden,leaves,colored leaves,orange leaves,warm-hued landscape,golden,leaves,colored leaves,orange leaves,warm-hued landscape",Is the following subject present in the image: 'mountains'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of mountains in europe on 11/11/1744 '? Is the correct temporal knowledge applied (i.e. 11/11/1744)? Just reply with 'yes' or 'no'.,sdv15,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdv15_Time_217.png,1,1,1.0,1.0,0,1.0
191,Seasonality,Month,Create,november,,mountains,Create a photorealistic image of mountains in europe in november ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"golden,leaves,colored leaves,orange leaves,warm-hued landscape,golden,leaves,colored leaves,orange leaves,warm-hued landscape",Is the following subject present in the image: 'mountains'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of mountains in europe in november '? Is the correct temporal knowledge applied (i.e. november)? Just reply with 'yes' or 'no'.,sdv15,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdv15_Time_191.png,1,1,1.0,1.0,0,1.0
1190,Seasonality,Month,Generate,august,,a city,Generate a photorealistic image of a city in europe in august ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine,sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine",Is the following subject present in the image: 'a city'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a city in europe in august '? Is the correct temporal knowledge applied (i.e. august)? Just reply with 'yes' or 'no'.,stable-diffusion-3-5,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_stable-diffusion-3-5_Time_1190.png,1,1,1.0,1.0,1,1.0
562,Seasonality,Date,Give me,01/14/1753,,a landscape,Give me a photorealistic image of a landscape in europe on 01/14/1753 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"frosty,snowy,icy,snow,ice,frost,frosty and icy,frosty,snowy,icy,snow,ice,frost,frosty and icy",Is the following subject present in the image: 'a landscape'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a landscape in europe on 01/14/1753 '? Is the correct temporal knowledge applied (i.e. 01/14/1753)? Just reply with 'yes' or 'no'.,blackforest,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_blackforest_Time_562.png,0,0,0.0,0.0,0,0.0
249,Seasonality,Date,Create,03/09/1947,,mountains,Create a photorealistic image of mountains in europe on 03/09/1947 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'mountains'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of mountains in europe on 03/09/1947 '? Is the correct temporal knowledge applied (i.e. 03/09/1947)? Just reply with 'yes' or 'no'.,sdv15,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdv15_Time_249.png,0,0,0.0,1.0,0,0.0
614,Seasonality,Date,Give me,03/28/1997,,a landscape,Give me a photorealistic image of a landscape in europe on 03/28/1997 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a landscape'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a landscape in europe on 03/28/1997 '? Is the correct temporal knowledge applied (i.e. 03/28/1997)? Just reply with 'yes' or 'no'.,stable-diffusion-3-5,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_stable-diffusion-3-5_Time_614.png,1,1,1.0,1.0,1,1.0
1432,Seasonality,Date,Produce,03/09/1947,,a forest,Produce a photorealistic image of a forest in europe on 03/09/1947 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a forest in europe on 03/09/1947 '? Is the correct temporal knowledge applied (i.e. 03/09/1947)? Just reply with 'yes' or 'no'.,blackforest,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_blackforest_Time_1432.png,1,1,1.0,1.0,1,1.0
1735,Seasonality,Month,Produce,july,,a lake,Produce a photorealistic image of a lake in europe in july ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine,sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine",Is the following subject present in the image: 'a lake'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a lake in europe in july '? Is the correct temporal knowledge applied (i.e. july)? Just reply with 'yes' or 'no'.,sdv15,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdv15_Time_1735.png,1,1,1.0,1.0,1,1.0
582,Seasonality,Date,Give me,11/29/1781,,a landscape,Give me a photorealistic image of a landscape in europe on 11/29/1781 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"golden,leaves,colored leaves,orange leaves,warm-hued landscape,golden,leaves,colored leaves,orange leaves,warm-hued landscape",Is the following subject present in the image: 'a landscape'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a landscape in europe on 11/29/1781 '? Is the correct temporal knowledge applied (i.e. 11/29/1781)? Just reply with 'yes' or 'no'.,blackforest,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_blackforest_Time_582.png,1,1,1.0,1.0,1,1.0
367,Seasonality,Month,Create,april,,a lake,Create a photorealistic image of a lake in europe in april ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a lake'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a lake in europe in april '? Is the correct temporal knowledge applied (i.e. april)? Just reply with 'yes' or 'no'.,sdv15,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdv15_Time_367.png,1,1,0.0,1.0,1,1.0
23,Seasonality,Date,Create,05/29/1713,,a forest,Create a photorealistic image of a forest in europe on 05/29/1713 ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a forest in europe on 05/29/1713 '? Is the correct temporal knowledge applied (i.e. 05/29/1713)? Just reply with 'yes' or 'no'.,sdv15,Landscapes,,,,,,,,,,,,,,,,,,,,,,,,,train_annotations/image_sdv15_Time_23.png,1,1,0.0,1.0,1,1.0
