model,category,index,subject,lifespan,anAge,prompttemplate,promptcategory,imperative,prompt,difficulty,Landscapes,goldenrecordImages,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2,periodstart,periodend,goldenrecordImagePath,DemolitionDate,BuildingCoordinates,BuildingCountry,RandomBefore,RandomAfter,BuildingCoordinates.1,lon,lat,commonsCategory,isInGoogleLandmark,inception,WikipediaPagesCount,Imperative,PromptTemplate,currentState,place,suggestion,timecategory,temporalvalue,daytimevalue,image_urls,vlm_prompt,model_response_vlm_prompt,model_name
sdxlbase,Animals,544,Brown Bear,25.0,40.0,(imperative) a photorealistic image of (name) that is 1 month old,youth,Create,Create a photorealistic image of a Brown Bear that is one month old.,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/Brown%20bear.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Brown%20bear%20%28Ursus%20arctos%29%2C%20Viiksimo%2C%20Kainuu%20region%2C%20Finland%20%2829058988558%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/202309%20Ezo%20brown%20bear.svg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Brown Bear'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Brown Bear that is one month old.'? Is the correct temporal knowledge applied (i.e. one month old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_544.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Brown Bear that is one month old.","ANALYSIS: Temporal Knowledge not applied
 RATING: Poor",gpt-4o-mini-2024-07-18
sdxlbase,Animals,2697,Wolverine,17.0,19.5,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of a Wolverine that is 16 years old.,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Leistungsschau%20des%20K%C3%BCrschnerhandwerks%201982%20%2817%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Gulo%20gulo%202.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Wolverine.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Wolverine'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Wolverine that is 16 years old.'? Is the correct temporal knowledge applied (i.e. 16 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_2697.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Wolverine that is 16 years old.","ANALYSIS: The image does not accurately reflect the prompt as it depicts a character inspired by a superhero rather than a natural wolverine and lacks elements indicative of age.
RATING: Extremely Poor",gpt-4o-mini-2024-07-18
sdxlturbo,Animals,903,Domestic Horse,30.0,,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Generate,Generate a photorealistic image of a Domestic Horse that is 15.0 years old.,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Lipicanec%20PRMO.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Domestic Horse'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a Domestic Horse that is 15.0 years old.'? Is the correct temporal knowledge applied (i.e. 150 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_903.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Domestic Horse that is 15.0 years old.","ANALYSIS: Temporal Knowledge not applied
 RATING: Poor",gpt-4o-mini-2024-07-18
stable-diffusion-3-5,Animals,2226,Raccoon Dog,11.0,16.6,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Create,Create a photorealistic image of a Raccoon Dog that is 34 years old.,2,lifespan*2,http://commons.wikimedia.org/wiki/Special:FilePath/Tanuki01%20960.jpg,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Raccoon Dog'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Raccoon Dog that is 34 years old.'? Is the correct temporal knowledge applied (i.e. 34 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,stable-diffusion-3-5/Animals/image_2226.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Raccoon Dog that is 34 years old.","ANALYSIS: Temporal Knowledge not applied 
 RATING: Poor",gpt-4o-mini-2024-07-18
sdxlturbo,Animals,2698,Wolverine,17.0,19.5,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Give me,Give me a photorealistic image of a Wolverine that is 40 years old.,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/Leistungsschau%20des%20K%C3%BCrschnerhandwerks%201982%20%2817%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Gulo%20gulo%202.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Wolverine.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Wolverine'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Wolverine that is 40 years old.'? Is the correct temporal knowledge applied (i.e. 40 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_2698.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Wolverine that is 40 years old.","ANALYSIS: Temporal Knowledge not applicable
 RATING: Extremely Poor",gpt-4o-mini-2024-07-18
sdxlbase,Animals,1672,Klipspringer,15.0,25.9,(imperative) a photorealistic image of (name) that is 1 month old,youth,Give me,Give me a photorealistic image of a Klipspringer that is one month old.,1,1 month,http://commons.wikimedia.org/wiki/Special:FilePath/Klipspringer%20%28Oreotragus%20oreotragus%29%20male%20%2833106309596%29.jpg,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Klipspringer'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Klipspringer that is one month old.'? Is the correct temporal knowledge applied (i.e. one month old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_1672.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Klipspringer that is one month old.","ANALYSIS: Temporal Knowledge not applied
 RATING: Poor",gpt-4o-mini-2024-07-18
sdxlturbo,Animals,1375,Harbor Seal,30.0,47.6,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Produce,Produce a photorealistic image of a Harbor Seal that is 24.0 years old.,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/Common%20Seal%20Phoca%20vitulina.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Harbor%20seal%20in%20Holyoke%2C%20MA.%20Connecticut%20River.%2001.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Harbor%20Seal%2C%20Phoca%20vitulina%20-%20Flickr%20-%20GregTheBusker.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Harbor Seal'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Harbor Seal that is 24.0 years old.'? Is the correct temporal knowledge applied (i.e. 240 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_1375.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Harbor Seal that is 24.0 years old.","ANALYSIS: Temporal Knowledge not applied; image style does not reflect photorealism.
RATING: Poor",gpt-4o-mini-2024-07-18
blackforest,Animals,842,Dhole,13.0,16.1,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Give me,Give me a photorealistic image of a Dhole that is 32 years old.,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/Dole%2C%20Khumbu%2C%20Nepal.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Dhole%20%28Asiatic%20wild%20dog%29%20cropped.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Dhole'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Dhole that is 32 years old.'? Is the correct temporal knowledge applied (i.e. 32 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,blackforest/Animals/image_842.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Dhole that is 32 years old.","ANALYSIS: Temporal Knowledge not applied
 RATING: Extremely Poor",gpt-4o-mini-2024-07-18
sdxlturbo,Animals,2611,Vervet Monkey,24.0,32.0,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Create,Create a photorealistic image of a Vervet Monkey that is 16.0 years old.,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Chlorocebus%20pygerythrus.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Vervet Monkey'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Vervet Monkey that is 16.0 years old.'? Is the correct temporal knowledge applied (i.e. 160 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_2611.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Vervet Monkey that is 16.0 years old.","ANALYSIS: Temporal Knowledge not applied effectively; artistic style does not align with the prompt’s request for photorealism.  
RATING: Poor",gpt-4o-mini-2024-07-18
sdxlbase,Animals,1628,Kangaroo,20.0,26.9,(imperative) a photorealistic image of (name) that is 1 month old,youth,Produce,Produce a photorealistic image of a Kangaroo that is one month old.,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/Kangaroo.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Kangaroo1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Young%20red%20necked%20wallaby.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Kangaroo'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Kangaroo that is one month old.'? Is the correct temporal knowledge applied (i.e. one month old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_1628.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Kangaroo that is one month old.","ANALYSIS: Temporal Knowledge not fully applied; the level of youth and physical attributes of a one-month-old kangaroo may not be accurately represented.
RATING: Fair",gpt-4o-mini-2024-07-18
sdxlturbo,Artworks,482,Modern Art,,,(imperative) an artwork in a style that was popular in the Western world in (year),year,Give me,Give me an artwork in a style that was popular in the Western world in 1917 AC.,2,1917.0,"https://www.artic.edu/artworks/27992/a-sunday-on-la-grande-jatte-1884,https://www.artic.edu/artworks/80607/self-portrait,https://www.artic.edu/artworks/61128/at-the-moulin-rouge,https://www.getty.edu/art/collection/object/103QSA,https://www.nga.gov/collection/art-object-page.46569.html,https://www.artic.edu/artworks/14620/cliff-walk-at-pourville,https://www.artic.edu/artworks/28560/the-bedroom,https://www.metmuseum.org/art/collection/search/436446,https://www.nga.gov/collection/art-object-page.43624.html,https://www.metmuseum.org/art/collection/search/435878","abstract,avant-garde,minimalist,surreal,geometric,eclectic,abstraction,minimalism,surrealism,geometry,eclecticism,cubism",Is the following subject present in the image: 'Modern Art'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me an artwork in a style that was popular in the Western world in 1917 AC.'? Is the correct temporal knowledge applied (i.e. 1917.0 AC)? Just reply with 'yes' or 'no'.,1890.0,1945.0,"data/goldenRecordImages/artworks/modernArt/ASundayonLaGrandeJatte.jpg,data/goldenRecordImages/artworks/modernArt/Self-Portrait.jpg,data/goldenRecordImages/artworks/modernArt/AttheMoulinRouge.jpg,data/goldenRecordImages/artworks/modernArt/ChristsEntryintoBrusselsin1889.jpg,data/goldenRecordImages/artworks/modernArt/TheBoatingParty.jpg,data/goldenRecordImages/artworks/modernArt/CliffWalkatPourville.jpg,data/goldenRecordImages/artworks/modernArt/TheBedroom.jpg,data/goldenRecordImages/artworks/modernArt/TwoTahitianWomen.jpeg,data/goldenRecordImages/artworks/modernArt/TheRailway.jpg,data/goldenRecordImages/artworks/modernArt/MontSainte-Victoire.jpeg",,,,,,,,,,,,,,,,,,,,,sdxlturbo/Artworks/image_482.png,"Now, proceed with evaluating the image based on the prompt:
 an artwork in a style that was popular in the Western world in 1917 AC.","ANALYSIS: Temporal Knowledge applied
 RATING: Fair",gpt-4o-mini-2024-07-18
